results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,reult/alternative/0/word/0/tartTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime
0.82831967, so yeah I heard your points for Mike those I'll start with my point of view first off these people giving these who came to this country came here basically to seek shelter from the war right the many wars I've been going on these people ran away from it they don't want to participate in the war and they were basically,0.91283858,81.5,81.0,so,12,en-us,105.388438
0.82831967,,0.91283858,82.1,81.8,yeah,12,en-us,105.388438
0.82831967,,0.91283858,82.1,82.1,I,12,en-us,105.388438
0.82831967,,0.91283858,82.3,82.1,heard,12,en-us,105.388438
0.82831967,,0.91283858,82.4,82.3,your,12,en-us,105.388438
0.82831967,,0.91283858,82.8,82.4,points,12,en-us,105.388438
0.82831967,,0.91283858,83.9,83.8,for,12,en-us,105.388438
0.82831967,,0.89135629,84.2,83.9,Mike,12,en-us,105.388438
0.82831967,,0.91283858,85.0,84.4,those,12,en-us,105.388438
0.82831967,,0.91283858,85.2,85.0,I'll,12,en-us,105.388438
0.82831967,,0.91283858,85.6,85.2,start,12,en-us,105.388438
0.82831967,,0.91283858,86.1,85.6,with,12,en-us,105.388438
0.82831967,,0.91283858,86.9,86.7,my,12,en-us,105.388438
0.82831967,,0.91283858,87.1,86.9,point,12,en-us,105.388438
0.82831967,,0.91283858,87.2,87.1,of,12,en-us,105.388438
0.82831967,,0.90277231,87.6,87.2,view,12,en-us,105.388438
0.82831967,,0.91283858,88.6,88.3,first,12,en-us,105.388438
0.82831967,,0.91283858,88.9,88.6,off,12,en-us,105.388438
0.82831967,,0.91283858,90.3,90.1,these,12,en-us,105.388438
0.82831967,,0.91022104,90.8,90.3,people,12,en-us,105.388438
0.82831967,,0.91283858,91.1,90.9,giving,12,en-us,105.388438
0.82831967,,0.91283858,91.4,91.1,these,12,en-us,105.388438
0.82831967,,0.91283858,91.5,91.4,who,12,en-us,105.388438
0.82831967,,0.91283858,91.7,91.5,came,12,en-us,105.388438
0.82831967,,0.91283858,91.9,91.7,to,12,en-us,105.388438
0.82831967,,0.91283858,92.0,91.9,this,12,en-us,105.388438
0.82831967,,0.90110695,92.7,92.0,country,12,en-us,105.388438
0.82831967,,0.91283858,93.8,93.6,came,12,en-us,105.388438
0.82831967,,0.91283858,94.0,93.8,here,12,en-us,105.388438
0.82831967,,0.91283858,94.4,94.0,basically,12,en-us,105.388438
0.82831967,,0.91283858,94.8,94.4,to,12,en-us,105.388438
0.82831967,,0.91283858,95.2,94.8,seek,12,en-us,105.388438
0.82831967,,0.90512246,95.6,95.2,shelter,12,en-us,105.388438
0.82831967,,0.91261303,95.9,95.6,from,12,en-us,105.388438
0.82831967,,0.91283858,96.1,95.9,the,12,en-us,105.388438
0.82831967,,0.91283858,96.5,96.1,war,12,en-us,105.388438
0.82831967,,0.91283858,96.9,96.5,right,12,en-us,105.388438
