results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0.84681356,we'll start now okay in my opinions about your Refugee from Gmail in South Korea at Jeju Islands I think that is would be have some positive benefits if the Korean government letter reality into the country with some restrictions,0.91283858,0.900s,0.600s,we'll,1,en-us,25.778322s
0.84681356,,0.91283858,1.500s,0.900s,start,1,en-us,25.778322s
0.84681356,,0.91283858,2.100s,1.600s,now,1,en-us,25.778322s
0.84681356,,0.91283858,3s,2.600s,okay,1,en-us,25.778322s
0.84681356,,0.91283858,4.300s,4s,in,1,en-us,25.778322s
0.84681356,,0.91283858,4.500s,4.300s,my,1,en-us,25.778322s
0.84681356,,0.91283858,5s,4.500s,opinions,1,en-us,25.778322s
0.84681356,,0.91283858,5.300s,5s,about,1,en-us,25.778322s
0.84681356,,0.91283858,5.600s,5.300s,your,1,en-us,25.778322s
0.84681356,,0.91283858,6.500s,5.600s,Refugee,1,en-us,25.778322s
0.84681356,,0.91283858,7.100s,6.700s,from,1,en-us,25.778322s
0.84681356,,0.72628289,7.700s,7.100s,Gmail,1,en-us,25.778322s
0.84681356,,0.91283858,8.100s,7.900s,in,1,en-us,25.778322s
0.84681356,,0.91283858,8.400s,8.100s,South,1,en-us,25.778322s
0.84681356,,0.84444094,8.900s,8.400s,Korea,1,en-us,25.778322s
0.84681356,,0.74157768,9.200s,8.900s,at,1,en-us,25.778322s
0.84681356,,0.91212344,9.500s,9.200s,Jeju,1,en-us,25.778322s
0.84681356,,0.91283858,10s,9.500s,Islands,1,en-us,25.778322s
0.84681356,,0.72628289,12.900s,12.200s,I,1,en-us,25.778322s
0.84681356,,0.91283858,13.900s,13.600s,think,1,en-us,25.778322s
0.84681356,,0.76050615,14.400s,13.900s,that,1,en-us,25.778322s
0.84681356,,0.89344394,14.900s,14.600s,is,1,en-us,25.778322s
0.84681356,,0.91283858,15.400s,15.200s,would,1,en-us,25.778322s
0.84681356,,0.74284482,15.900s,15.400s,be,1,en-us,25.778322s
0.84681356,,0.91283858,16.200s,16s,have,1,en-us,25.778322s
0.84681356,,0.76306415,16.400s,16.200s,some,1,en-us,25.778322s
0.84681356,,0.91283858,17s,16.400s,positive,1,en-us,25.778322s
0.84681356,,0.7290765,17.600s,17s,benefits,1,en-us,25.778322s
0.84681356,,0.85865653,18.800s,18.300s,if,1,en-us,25.778322s
0.84681356,,0.73732531,19s,18.800s,the,1,en-us,25.778322s
0.84681356,,0.91283858,19.700s,19s,Korean,1,en-us,25.778322s
0.84681356,,0.77023679,20.700s,20s,government,1,en-us,25.778322s
0.84681356,,0.71129531,21.600s,21.100s,letter,1,en-us,25.778322s
0.84681356,,0.68108612,22.400s,21.600s,reality,1,en-us,25.778322s
0.84681356,,0.91283858,23.600s,22.900s,into,1,en-us,25.778322s
0.84681356,,0.77536613,23.700s,23.600s,the,1,en-us,25.778322s
0.84681356,,0.91283858,24.100s,23.700s,country,1,en-us,25.778322s
0.84681356,,0.91283858,24.300s,24.100s,with,1,en-us,25.778322s
0.84681356,,0.70640326,24.600s,24.300s,some,1,en-us,25.778322s
0.84681356,,0.71008772,25.300s,24.600s,restrictions,1,en-us,25.778322s
0.78812301,don't start now okay in my opinions about your Refugee from Yemen in South Korea at Chatham Islands I think that is would be have some positive benefits if the Korean government leader Reggie into the country with some restrictions,0.73821491,0.900s,0.600s,don't,2,en-us,25.948708s
0.78812301,,0.84942025,1.500s,0.900s,start,2,en-us,25.948708s
0.78812301,,0.75880712,2.100s,1.600s,now,2,en-us,25.948708s
0.78812301,,0.75755304,3s,2.600s,okay,2,en-us,25.948708s
0.78812301,,0.91283858,4.200s,4s,in,2,en-us,25.948708s
0.78812301,,0.91283858,4.500s,4.200s,my,2,en-us,25.948708s
0.78812301,,0.91283858,5s,4.500s,opinions,2,en-us,25.948708s
0.78812301,,0.75545317,5.400s,5s,about,2,en-us,25.948708s
0.78812301,,0.83418286,5.600s,5.400s,your,2,en-us,25.948708s
0.78812301,,0.85668522,6.500s,5.600s,Refugee,2,en-us,25.948708s
0.78812301,,0.84981477,7.100s,6.800s,from,2,en-us,25.948708s
0.78812301,,0.87846863,7.700s,7.100s,Yemen,2,en-us,25.948708s
0.78812301,,0.91283858,8.100s,7.800s,in,2,en-us,25.948708s
0.78812301,,0.91283858,8.400s,8.100s,South,2,en-us,25.948708s
0.78812301,,0.81835932,8.900s,8.400s,Korea,2,en-us,25.948708s
0.78812301,,0.72601897,9.200s,8.900s,at,2,en-us,25.948708s
0.78812301,,0.68785924,9.500s,9.200s,Chatham,2,en-us,25.948708s
0.78812301,,0.80340403,10s,9.500s,Islands,2,en-us,25.948708s
0.78812301,,0.65343404,12.900s,12.200s,I,2,en-us,25.948708s
0.78812301,,0.91283858,13.900s,13.700s,think,2,en-us,25.948708s
0.78812301,,0.70015603,14.400s,13.900s,that,2,en-us,25.948708s
0.78812301,,0.7565105,14.900s,14.600s,is,2,en-us,25.948708s
0.78812301,,0.91283858,15.400s,15.200s,would,2,en-us,25.948708s
0.78812301,,0.67299694,15.900s,15.400s,be,2,en-us,25.948708s
0.78812301,,0.91283858,16.200s,16s,have,2,en-us,25.948708s
0.78812301,,0.7137239,16.400s,16.200s,some,2,en-us,25.948708s
0.78812301,,0.91283858,17s,16.400s,positive,2,en-us,25.948708s
0.78812301,,0.64447218,17.600s,17s,benefits,2,en-us,25.948708s
0.78812301,,0.72819138,18.800s,18.300s,if,2,en-us,25.948708s
0.78812301,,0.7189644,18.900s,18.800s,the,2,en-us,25.948708s
0.78812301,,0.90538788,19.700s,18.900s,Korean,2,en-us,25.948708s
0.78812301,,0.71078306,20.700s,20s,government,2,en-us,25.948708s
0.78812301,,0.77153981,21.600s,21.100s,leader,2,en-us,25.948708s
0.78812301,,0.69418567,22.400s,21.600s,Reggie,2,en-us,25.948708s
0.78812301,,0.69696498,23.600s,22.900s,into,2,en-us,25.948708s
0.78812301,,0.73585063,23.700s,23.600s,the,2,en-us,25.948708s
