results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,reult/alternative/0/word/0/endTime,reult/alternative/0/word/0/tartTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,reult/reultEndTime,seconds,arousal,valence,cheerful,happy,angry,nervous,sad,boredom,confusion,delight,concentration,frustration,surprise,none_1,confrustion,contempt,dejection,disgust,eureka,pride,sorrow,none_2
0.76509905,all right first one the state for this accepting this refugees arrived in this especially in many Arab Jesus arrived in Jeju Allah first of all I want to mention that the current movement in South Korea against against this year many refugees are pretty much standard phobic activity,0.91283858,2.4,2.3,all,2.0,en-us,25.888572,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,x,,,,,,,,,,,,,,x
0.76509905,,0.91283858,3.0,2.4,right,2.0,en-us,25.888572,10.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,x,,,,,,,,,,,,,,x
0.76509905,,0.91283858,3.3,3.0,first,2.0,en-us,25.888572,15.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
0.76509905,,0.91283858,3.4,3.3,one,2.0,en-us,25.888572,20.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
0.76509905,,0.91283858,3.5,3.4,the,2.0,en-us,25.888572,25.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
0.76509905,,0.91283858,4.1,3.5,state,2.0,en-us,25.888572,30.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
0.76509905,,0.91283858,5.5,4.9,for,2.0,en-us,25.888572,35.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
0.76509905,,0.91283858,6.1,5.5,this,2.0,en-us,25.888572,40.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,x,,,,,,,,x
0.76509905,,0.71849149,7.0,6.6,accepting,2.0,en-us,25.888572,45.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.75170672,7.2,7.0,this,2.0,en-us,25.888572,50.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.91283858,7.8,7.2,refugees,2.0,en-us,25.888572,55.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.89755535,8.3,7.8,arrived,2.0,en-us,25.888572,60.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.76264912,8.6,8.3,in,2.0,en-us,25.888572,65.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.76264912,9.0,8.7,this,2.0,en-us,25.888572,70.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.75170666,9.9,9.3,especially,2.0,en-us,25.888572,75.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.71634918,10.0,9.9,in,2.0,en-us,25.888572,80.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.91283858,10.4,10.0,many,2.0,en-us,25.888572,85.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.74815476,10.7,10.4,Arab,2.0,en-us,25.888572,90.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.82403433,11.1,10.7,Jesus,2.0,en-us,25.888572,95.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.86392659,12.3,11.8,arrived,2.0,en-us,25.888572,100.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.78196448,12.6,12.3,in,2.0,en-us,25.888572,105.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
0.76509905,,0.76422155,13.0,12.7,Jeju,2.0,en-us,25.888572,110.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,x,,,,,,,,,,,x
