results/alternatives/0/confidence,results/alternatives/0/transcript,results/alternatives/0/words/0/confidence,results/alternatives/0/words/0/endTime,results/alternatives/0/words/0/startTime,results/alternatives/0/words/0/word,results/channelTag,results/languageCode,results/resultEndTime
0.76509905,all right first one the state for this accepting this refugees arrived in this especially in many Arab Jesus arrived in Jeju Allah first of all I want to mention that the current movement in South Korea against against this year many refugees are pretty much standard phobic activity,0.91283858,2.400s,2.300s,all,2,en-us,25.888572s
0.76509905,,0.91283858,3s,2.400s,right,2,en-us,25.888572s
0.76509905,,0.91283858,3.300s,3s,first,2,en-us,25.888572s
0.76509905,,0.91283858,3.400s,3.300s,one,2,en-us,25.888572s
0.76509905,,0.91283858,3.500s,3.400s,the,2,en-us,25.888572s
0.76509905,,0.91283858,4.100s,3.500s,state,2,en-us,25.888572s
0.76509905,,0.91283858,5.500s,4.900s,for,2,en-us,25.888572s
0.76509905,,0.91283858,6.100s,5.500s,this,2,en-us,25.888572s
0.76509905,,0.71849149,7s,6.600s,accepting,2,en-us,25.888572s
0.76509905,,0.75170672,7.200s,7s,this,2,en-us,25.888572s
0.76509905,,0.91283858,7.800s,7.200s,refugees,2,en-us,25.888572s
0.76509905,,0.89755535,8.300s,7.800s,arrived,2,en-us,25.888572s
0.76509905,,0.76264912,8.600s,8.300s,in,2,en-us,25.888572s
0.76509905,,0.76264912,9s,8.700s,this,2,en-us,25.888572s
0.76509905,,0.75170666,9.900s,9.300s,especially,2,en-us,25.888572s
0.76509905,,0.71634918,10s,9.900s,in,2,en-us,25.888572s
0.76509905,,0.91283858,10.400s,10s,many,2,en-us,25.888572s
0.76509905,,0.74815476,10.700s,10.400s,Arab,2,en-us,25.888572s
0.76509905,,0.82403433,11.100s,10.700s,Jesus,2,en-us,25.888572s
0.76509905,,0.86392659,12.300s,11.800s,arrived,2,en-us,25.888572s
0.76509905,,0.78196448,12.600s,12.300s,in,2,en-us,25.888572s
0.76509905,,0.76422155,13s,12.700s,Jeju,2,en-us,25.888572s
0.76509905,,0.7288574,13.500s,13s,Allah,2,en-us,25.888572s
0.76509905,,0.91283858,15.300s,15s,first,2,en-us,25.888572s
0.76509905,,0.79418397,15.400s,15.300s,of,2,en-us,25.888572s
0.76509905,,0.79418397,15.500s,15.400s,all,2,en-us,25.888572s
0.76509905,,0.3567681,15.600s,15.500s,I,2,en-us,25.888572s
0.76509905,,0.91283858,15.800s,15.600s,want,2,en-us,25.888572s
0.76509905,,0.59167302,15.900s,15.800s,to,2,en-us,25.888572s
0.76509905,,0.67254418,16.400s,15.900s,mention,2,en-us,25.888572s
0.76509905,,0.3727203,17s,16.400s,that,2,en-us,25.888572s
0.76509905,,0.471558,17.500s,17s,the,2,en-us,25.888572s
